Entry ID,Message ID,[DE entry name position],[DE entry name size],DE entry name,[ES entry name position],[ES entry name size],ES entry name,[FR entry name position],[FR entry name size],FR entry name,[GB entry name position],[GB entry name size],GB entry name,Element ID,Padding #1,[Element name],Order by importance,Occasion flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Padding #2,Padding #3,Effect value,Type ID,[Type name],Unknown #1,Hit%,Padding #4,Padding #5,Padding #6,Ship occasion ID,[Ship occasion name],Padding #7,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unknown #2,Padding #8,Padding #9,Padding #10,[DE description position],[DE description size],DE description string,[ES description position],[ES description size],ES description string,[FR description position],[FR description size],FR description string,[GB description position],[GB description size],GB description string,[DE ship description position],[DE ship description size],DE ship description string,[ES ship description position],[ES ship description size],ES ship description string,[FR ship description position],[FR ship description size],FR ship description string,[GB ship description position],[GB ship description size],GB ship description string
29,2150392764,118026,10,Crystalen,117085,10,Crystalen,117709,10,Crystalen,115652,10,Crystalen,2,0,Purple,13,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,4,0,0,220,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,2,0,0,0,72388,91,Riesige Eissäulen durchbohren einen Feind\nund richten erheblichen Schaden an.        SP 4,71624,92,"Enormes columnas de hielo caen del cielo,\natraviesan a un enemigo y producen daños.   4 PE",68364,17,Boutique d'Osman,70664,97,Huge pillars of ice rain from the sky to impale\none enemy for enormous damage.             SP 4,114148,88,Feuert eine mit Purple Magic geladene\nKanonenkugel ab. Erfordert Spezialausrüstung.4SP,113098,95,Dispara una bala de cañón con Magia Púrpura.\nLanzar hechizos requiere un equipo especial. 4PE,113600,98,Lance un boulet de canon chargé de Magie Mauve.\nÉquipement spécial requis.                  4 ES,111819,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.        4 SP
30,2150955880,118036,8,Pyrulen,117095,8,Pyrulen,117719,8,Pyrulen,115662,8,Pyrulen,1,0,Red,3,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,10,0,0,155,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),10,-1,150,1,0,0,0,72479,96,Entzündet die Luft und setzt alle Feinde auf \ndem Bildschirm einem Feuersturm aus.       SP 10,71716,92,Arde el aire y rodea a todos los enemigos\nen una cortina de fuego.                   10 PE,68381,17,Boutique d'Osman,70761,97,Sets the air aflame and engulfs all enemies on\nscreen in a firestorm.                     SP 10,114236,98,Feuert eine mit Red Magic geladene Kanonenkugel\nab. Erfordert Spezialausrüstung.           10 SP,113193,99,Dispara una bala de cañón con Magia Roja. Lanzar\nhechizos requiere un equipo especial.       10PE,113698,98,Lance un boulet de canon chargé de Magie Rouge.\nÉquipement spécial requis.                 10 ES,111915,93,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.       10 SP
31,2150955888,118044,7,Wevlum,117103,7,Wevlum,117727,7,Wevlum,115670,7,Wevlum,3,0,Blue,62,3,"",X,X,0,Damage,33,Enemy area #2,6,Magic,0,6,0,0,150,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,4,0,0,0,72575,96,"Erzeugt heftige Winde und stechenden Regen, um\nFeinde in einem großen Gebiet zu schädigen.SP 6",71808,95,Crea una zona de fuertes vientos y punzantes\nlluvias que causan danos al enemigo.        6 PE,68398,16,Labo d'Ilchymis,70858,94,Summons a field of fierce winds and stinging\nrain to damage enemies in a large area.    SP 6,114334,99,Feuert eine mit Blue Magic geladene Kanonenkugel\nab. Erfordert Spezialausrüstung.            6 SP,113292,99,Dispara una bala de cañón con Magia Azul. Lanzar\nhechizos requiere un equipo especial.        6PE,113796,98,Lance un boulet de canon chargé de Magie Bleue.\nÉquipement spécial requis.                  6 ES,112008,94,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.        6 SP
32,2150955896,118051,8,Electri,117110,8,Electri,117734,8,Electri,115677,8,Electri,4,0,Yellow,30,3,"",X,X,0,Damage,36,Enemy line #1,6,Magic,0,2,0,0,60,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,3,0,0,0,72671,94,"Schädigt einen Feind und alle Feinde, die im\nWeg stehen, mit einem Stromstoß.           SP 2",71903,96,Dispara una descarga de electricidad sobre un\nobjetivo y hiere a quienes haya en medio.   2 PE,68414,16,Labo d'Ilchymis,70952,96,"Shoots a bolt of electricity at a target, also\ndamaging any enemies in the way.           SP 2",114433,97,Feuert eine mit Yellow Magic geladene Kanonen-\nkugel ab. Erfordert Spezialausrüstung.      2 SP,113391,96,Dispara una bala de cañón con Magia Amarilla.\nLanzar hechizos requiere un equipo especial. 2PE,113894,98,Lance un boulet de canon chargé de Magie Jaune.\nÉquipement spécial requis.                  2 ES,112102,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.        2 SP
33,2150392776,118059,9,Electres,117118,9,Electres,117742,9,Electres,115685,9,Electres,4,0,Yellow,31,3,"",X,X,0,Damage,37,Enemy line #2,6,Magic,0,4,0,0,105,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,3,0,0,0,72765,91,"Schädigt alle Feinde, die auf einer Linie\nstehen, mit einem Blitzschlag.             SP 4",71999,90,Envía un relámpago a través de una fila\nde enemigos produciendo un gran daño.       4 PE,68430,13,Armes d'Alaz,71048,98,Sends a lightning bolt through a line of enemies\ncausing major damage.                      SP 4,114530,97,Feuert eine mit Yellow Magic geladene Kanonen-\nkugel ab. Erfordert Spezialausrüstung.      4 SP,113487,96,Dispara una bala de cañón con Magia Amarilla.\nLanzar hechizos requiere un equipo especial. 4PE,113992,98,Lance un boulet de canon chargé de Magie Jaune.\nÉquipement spécial requis.                  4 ES,112198,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.        4 SP
34,2150392788,118068,9,Electrum,117127,9,Electrum,117751,9,Electrum,115694,9,Electrum,4,0,Yellow,32,3,"",X,X,0,Damage,37,Enemy line #2,6,Magic,0,6,0,0,150,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,3,0,0,0,72856,91,"Schädigt alle Feinde, die auf einer Linie\nstehen, mit einem starken Stromschlag.     SP 6",72089,90,Dispara una enorme descarga eléctrica y\nhiere a todos los enemigos en línea recta.  6 PE,68443,15,Bazar de Karah,71146,95,A massive bolt of electricity is shot out and\nhits all enemies in a straight line.       SP 6,114627,97,Feuert eine mit Yellow Magic geladene Kanonen-\nkugel ab. Erfordert Spezialausrüstung.      6 SP,113583,96,Dispara una bala de cañón con Magia Amarilla.\nLanzar hechizos requiere un equipo especial. 6PE,114090,98,Lance un boulet de canon chargé de Magie Jaune.\nÉquipement spécial requis.                  6 ES,112294,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.        6 SP
35,2150392800,118077,11,Electrulen,117136,11,Electrulen,117760,11,Electrulen,115703,11,Electrulen,4,0,Yellow,33,3,"",X,X,0,Damage,38,Enemy line #3,6,Magic,0,8,0,0,195,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),8,-1,150,3,0,0,0,72947,96,Ultimativer Angriffszauber. Fügt allen Feinden\nauf einer Linie erheblichen Schaden zu.    SP 8,72179,99,El más poderoso hechizo de ataque. Produce mucho\ndaño a todos los enemigos en línea recta.   8 PE,68458,16,"Ral, l'armateur",71241,96,The ultimate attack spell. It will cause major\ndamage on all enemies in a straight line.  SP 8,114724,97,Feuert eine mit Yellow Magic geladene Kanonen-\nkugel ab. Erfordert Spezialausrüstung.      8 SP,113679,96,Dispara una bala de cañón con Magia Amarilla.\nLanzar hechizos requiere un equipo especial. 8PE,114188,98,Lance un boulet de canon chargé de Magie Jaune.\nÉquipement spécial requis.                  8 ES,112390,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.        8 SP
36,2150392812,118088,14,Schwertwirbel,117147,14,Ira del Sable,117771,15,Furie du Sabre,115714,13,Cutlass Fury,6,0,Neutral,200,2,"",X,"",0,Damage,3,One enemy,0,Vyse,1,7,0,0,25,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,73043,93,Vyse lässt seine Wut an einem Feind aus und\nfügt ihm großen Schaden zu.                SP 7,72278,92,"Vyse desata su ira sobre un solo enemigo,\nproduciendo grandes daños.                  7 PE",68474,15,Armes de Bazra,71337,92,"Vyse unleashes his fury on a single enemy,\ncausing major damage.                      SP 7",0,0,"",0,0,"",0,0,"",0,0,""
37,2150392828,118102,15,Schwerterregen,117161,17,Lluvia de Sables,117786,14,Pluie d'Épées,115727,15,Rain of Swords,6,0,Neutral,202,2,"",X,"",0,Damage,4,All enemies,0,Vyse,1,14,0,0,15,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,73136,95,Vyse schädigt alle Feinde auf dem Bildschirm\nmit mächtigen Blitzschlägen.               SP 14,72370,96,Vyse convoca el poder del rayo para que caiga\nsobre todos los enemigos en pantalla.      14 PE,68489,15,Bazar de Bazra,71429,99,Vyse summons the power of lightning to rain down\nupon all the enemies on the screen.        SP 14,0,0,"",0,0,"",0,0,"",0,0,""
38,2150392844,118117,12,Piratenzorn,117178,17,Furia del Pirata,117800,14,Colère Pirate,115742,15,Pirates' Wrath,6,0,Neutral,204,2,"",X,"",0,Damage,3,One enemy,0,Vyse,1,21,0,0,75,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,73231,95,Vyse lässt einen Feind den verheerenden Zorn\nder Luftpiraten spüren.                    SP 21,72466,96,Vyse desencadena la ira de los Piratas Aéreos\nsobre un enemigo y produce un daño enorme. 21 PE,68504,17,Marchand Étrange,71528,97,Vyse unleashes the wrath of the Air Pirates on\na single enemy for devastating damage.     SP 21,0,0,"",0,0,"",0,0,"",0,0,""
39,2150392860,118129,15,Omega-Psyclone,117195,13,Ciclón Omega,117814,15,Psyclone Oméga,115757,15,Omega Psyclone,1,0,Red,214,2,"",X,"",0,Damage,4,All enemies,1,Aika,1,12,0,0,165,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,73326,95,Aika zerstört alle Feinde auf dem Bildschirm\nmit der Macht des Red Moon.                SP 12,72562,96,Aika convoca los poderes de la Luna Roja para\ndestruir a todos los enemigos en pantalla. 12 PE,68521,16,Marchand Désert,71625,93,Aika summons the powers of the Red Moon to\ndestroy all of the enemies on screen.      SP 12,0,0,"",0,0,"",0,0,"",0,0,""
40,2150392876,118144,11,Alphasturm,117208,14,Tormenta Alfa,117829,12,Orage Alpha,115772,12,Alpha Storm,1,0,Red,210,2,"",X,"",0,Damage,39,Enemy line #4,1,Aika,1,4,0,0,60,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,73421,96,"Aika entfacht mit ihrem Bumerang einen Feuer-\nwirbel, schädigt alle Feinde auf einer Linie.SP4",72658,93,Aika hace girar su bumerán y un huracán de\nllamas hiere a todos los enemigos en línea. 4 PE,68537,16,"Kan, l'armateur",71718,97,"Aika spins her boomerang, summoning a vortex of\nflames to strike all enemies in a line.    SP 4",0,0,"",0,0,"",0,0,"",0,0,""
41,2150392888,118155,13,Lambda Burst,117222,17,Explosión Lambda,117841,17,Explosion Lambda,115784,13,Lambda Burst,1,0,Red,212,2,"",X,"",0,Damage,4,All enemies,1,Aika,1,8,0,0,100,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,73517,94,"Aika lässt den Boden unter sich explodieren,\nschädigt alle Feinde auf dem Bildschirm.   SP 8",72751,99,Aika explosiona la tierra que le rodea y produce\ndaño a todos los enemigos en pantalla.      8 PE,68553,15,Armes de Jetah,71815,91,"Aika causes the very ground around her to\nexplode, damaging all enemies on screen.   SP 8",0,0,"",0,0,"",0,0,"",0,0,""
42,2150392904,118168,12,Lunar Glyph,117239,12,Glifo Lunar,117858,15,Glyphe Lunaire,115797,12,Lunar Glyph,5,0,Silver,221,2,"",X,"",8,Add Stone + Damage,3,One enemy,2,Fina,1,3,0,0,25,0,Physical,2,25,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,73611,96,"Fina nutzt die Macht des Silver Moon, um einen\nFeind zu schädigen und evtl.zu versteinern.SP 3",72850,97,"Con el poder de la Luna de Plata, Fina produce\ndaño y quizá petrifica a un único enemigo.  3 PE",68568,15,Bazar de Thorn,71906,96,Fina uses the power of the Silver Moon to damage\nand possibly Stone a single enemy.       SP 3,0,0,"",0,0,"",0,0,"",0,0,""
43,2150392916,118180,10,Mondwinde,117251,16,Ráfagas Lunares,117873,15,Vents Lunaires,115809,12,Lunar Winds,5,0,Silver,223,2,"",X,"",17,Remove positive states,4,All enemies,2,Fina,1,6,0,0,75,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,73707,95,"Cupil entfacht einen Sturm, der allen Feinden\nschadet und alle positiven Effekte aufhebt.SP 6",72947,98,Cupil desata una tormenta que hiere y anula los\nefectos beneficiosos de todos los enemigos. 6 PE,68583,15,Le Marché Noir,72002,96,Cupil summons a storm to damage and remove any\nbeneficial effects from all enemies.       SP 6,0,0,"",0,0,"",0,0,"",0,0,""
44,2150955904,118190,8,Attacke,117267,7,Ataque,117888,14,Ruée Mortelle,115821,7,Tackle,6,0,Neutral,230,2,"",X,"",0,Damage,3,One enemy,3,Drachma,1,10,0,0,30,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,73802,100,Drachma konzentriert all seine Energie auf seinen\nseinen Metallarm und greift einen Feind an.SP 10,73045,98,Drachma concentra todas sus fuerzas en su brazo\nmetálico y carga contra un enemigo.        10 PE,68598,15,Boutique Belle,72098,98,Drachma concentrates all of his energy into his\nmetal arm and charges one enemy.           SP 10,0,0,"",0,0,"",0,0,"",0,0,""
45,2150392928,118198,15,Schicksalshand,117274,17,Mano del Destino,117902,15,Main du Destin,115828,13,Hand of Fate,6,0,Neutral,232,2,"",X,"",6,Add Unconscious + Damage #1,3,One enemy,3,Drachma,1,25,0,0,90,0,Physical,1,50,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,73902,97,"Drachma versetzt einem Feind einen furchtbaren\nHieb mit seinem Metallarm, meistens tödlich.SP25",73143,97,Drachma carga contra un enemigo con su potente\nbrazo y mata al instante a la mayoria.     25 PE,68613,17,Marchand Étrange,72196,97,"Drachma crushes one enemy with his mighty arm,\ncausing instant death to most.             SP 25",0,0,"",0,0,"",0,0,"",0,0,""
46,2150392944,118213,13,Kaiserklinge,117291,12,Espada Real,117917,12,Épée Royale,115841,12,Royal Blade,6,0,Neutral,240,2,"",X,"",0,Damage,37,Enemy line #2,4,Enrique,1,8,0,0,40,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,73999,96,Enrique attackiert einen Feind mit einer Serie\npräziser Schwerthiebe.                     SP 8,73240,92,Enrique rebana a un enemigo en una ráfaga\nde precisos movimientos de espada.          8 PE,68630,17,Marchand Étrange,72293,95,Enrique slashes at a single enemy in a flurry\nof precise sword attacks.                  SP 8,0,0,"",0,0,"",0,0,"",0,0,""
47,2150392956,118226,11,Das Urteil,117303,10,El Juicio,117929,12,Le Jugement,115853,14,The Judgement,6,0,Neutral,242,2,"",X,"",0,Damage,3,One enemy,4,Enrique,1,16,0,0,80,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,74095,88,Enrique lässt einen Feind im Coliseum\nfür seine Verbrechen verurteilen.          SP 16,73332,90,Enrique convoca a un enemigo al Coliseo\npara que sea juzgado por sus crimenes.     16 PE,68647,17,Marchand Étrange,72388,95,Enrique summons one enemy to the Coliseum to\nbe judged for its crimes.                  SP 16,0,0,"",0,0,"",0,0,"",0,0,""
48,2150392972,118237,15,Waffenschlinge,117313,10,Pistolero,117941,15,Feux du Bandit,115867,11,Gunslinger,6,0,Neutral,250,2,"",X,"",0,Damage,43,Enemy line #5,5,Gilder,1,9,0,0,30,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,74183,94,Gilder feuert gleichzeitig aus zwei Pistolen\nund schädigt alle Feinde auf einer Linie.  SP 9,73422,91,"Gilder descarga dos revólveres a la vez,\nhiriendo a todos los enemigos en línea.     9 PE",68664,6,Achat,72483,97,Gilder lets loose two handguns at the same time\ndamaging all enemies in a straight line.   SP 9,0,0,"",0,0,"",0,0,"",0,0,""
49,2150392984,118252,12,Die Claudia,117323,11,La Claudia,117956,11,Le Claudia,115878,12,The Claudia,6,0,Neutral,252,2,"",X,"",0,Damage,4,All enemies,5,Gilder,1,18,0,0,25,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,74277,96,Gilder feuert alle Kanonen der Claudia ab und\ngreift damit alle Feinde an.               SP 18,73513,99,Gilder llama al navío la Claudia y dispara todos\nsus cañones. Ataca a todos los enemigos.   18 PE,68670,6,Vente,72580,95,Gilder calls in the Claudia and fires all of\nher cannons. Attacks all enemies.          SP 18,0,0,"",0,0,"",0,0,"",0,0,""
50,2150392996,118264,13,Gegenangriff,117334,13,Contraataque,117967,15,Contre-Attaque,115890,14,Counterstrike,6,0,Neutral,301,2,"",X,"",38,Counter attack + Guard,5,User,0,Vyse,2,1,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,74373,95,Vyse geht in Abwehrstellung und erwidert eine\nRunde lang alle Feindattacken.             SP 1,73612,93,Vyse se defiende y responde ante todos los\nataques del enemigo durante todo un turno.  1 PE,68676,5,Exit,72675,95,"Vyse takes a defensive stance, countering all\nenemy physical attacks for a full turn.    SP 1",0,0,"",0,0,"",0,0,"",0,0,""
51,2150393012,118277,14,Schädelschild,117347,16,Escudo Calavera,117982,15,Bouclier Crâne,115904,13,Skull Shield,6,0,Neutral,303,2,"",X,"",46,Block attack + Counter attack,2,All allies,0,Vyse,2,5,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,74468,97,"Vyse ruft den Geist eines alten Luftpiraten an,\nseine Mannschaft zu verteidigen.           SP 5",73705,97,Vyse convoca al espíritu de un antepasado para\ncontraatacar y defender a su tripulación.   5 PE,68681,6,Achat,72770,97,Vyse summons the spirit of an ancient Air Pirate\nto defend and counterattack for his crew. SP 5,0,0,"",0,0,"",0,0,"",0,0,""
52,2150393028,118291,12,Deltaschild,117363,13,Escudo Delta,117997,15,Bouclier Delta,115917,13,Delta Shield,6,0,Neutral,311,2,"",X,"",39,Block magic,2,All allies,1,Aika,2,2,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,74565,87,Magieschutz für alle Verbündeten eine\nRunde lang. (Blockiert auch eigene Magie.) SP 2,73802,98,Escudo anti-magia que protege a los aliados por\nun turno pero bloquea su poder de magia.    2 PE,68687,6,Vente,72867,95,Creates an anti-magic shell around all allies\nfor 1 turn. (Blocks allies' magic too.)    SP 2,0,0,"",0,0,"",0,0,"",0,0,""
53,2150393044,118303,15,Epsilonspiegel,117376,15,Espejo Épsilon,118012,15,Miroir Epsilon,115930,15,Epsilon Mirror,6,0,Neutral,313,2,"",X,"",77,Invulnerable + Recover MP,5,User,1,Aika,2,10,0,0,10,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,74652,96,"Schafft eine spiegelartige Aura, die Aika für\n1 Runde umhüllt und 10 MP wiederherstellt. SP 10",73900,99,Crea un aura como un espejo que rodea a Aika por\nun turno y restaura 10 puntos de Magia.    10 PE,68693,6,Liste,72962,96,Creates a mirror-like aura that envelops Aika\nfor 1 turn and restores 10 MP.             SP 10,0,0,"",0,0,"",0,0,"",0,0,""
54,2150393060,118318,12,Mondsegnung,117391,16,Bendición Lunar,118027,17,Bienfait Lunaire,115945,15,Lunar Blessing,6,0,Neutral,320,2,"",X,"",33,Add Regenerate,2,All allies,2,Fina,2,12,0,0,200,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,74748,91,"Fina erbittet den Segen des Silver Moon,\nder alle Gruppenmitglieder regeneriert.    SP 12",73999,99,Fina convoca a la Luna de Plata y bendice a cada\nmiembro del grupo con la Regeneración.     12 PE,68699,14,Rien d'Équipé,73058,99,Fina calls upon the Silver Moon and blesses each\nparty member with Regeneration.            SP 12,0,0,"",0,0,"",0,0,"",0,0,""
55,2150393076,118330,14,Mondreinigung,117407,17,Liberación Lunar,118044,16,Lune Purifiante,115960,16,Lunar Cleansing,6,0,Neutral,322,2,"",X,"",30,Remove negative states,2,All allies,2,Fina,2,6,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,74839,95,Silver Moonlight befreit alle Verbündeten von\nallem Negativen außer Bewusstlosigkeit.    SP 6,74098,99,La Luz de Luna libera a los aliados de todos los\nefectos adversos menos de la Inconsciencia. 6 PE,68713,15,Imposs. Équipé,73157,94,Silver Moonlight cleanses all allies of any\nadverse effects except Unconscious.         SP 6,0,0,"",0,0,"",0,0,"",0,0,""
56,2150393092,118344,10,Mondlicht,117424,10,Luz Lunar,118060,16,Lumière Lunaire,115976,12,Lunar Light,6,0,Neutral,324,2,"",X,"",47,Recover HP and MP + Remove negative states,2,All allies,2,Fina,2,18,0,0,10000,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,74934,97,Hebt alle negativen Effekte auf und stellt die\nvollen HP aller Verbündeten wieder her.    SP 18,74197,92,"Revive, cura todos los efectos adversos y\nrepone toda la Salud de todos los aliados. 18 PE",68728,12,Déjà Équipé,73251,90,"Revives, cures all adverse effects, and\ncompletely restores all HP of all allies.  SP 18",0,0,"",0,0,"",0,0,"",0,0,""
57,2150393104,118354,16,Spirit aufladen,117434,15,Doble Espíritu,118076,14,Concentration,115988,14,Spirit Charge,6,0,Neutral,331,2,"",X,"",41,Guard + Increase Spirit restoration to 200%,5,User,3,Drachma,2,0,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,75031,96,"Drachma geht in sich, verdoppelt seinen Spirit\nund wehrt Angriffe ab.                     SP 0",74289,98,Drachma se concentra hasta doblar sus puntos de\nEspíritu para defenderse de los ataques.    0 PE,68740,6,Vente,73341,93,"Drachma focuses inward, doubling his Spirit\npoints and defending against attacks.      SP 0",0,0,"",0,0,"",0,0,"",0,0,""
58,2150393120,118370,13,Rechtsschild,117449,17,Escudo Defensivo,118090,17,Bouclier Justice,116002,15,Justice Shield,6,0,Neutral,341,2,"",X,"",1,Guard,2,All allies,4,Enrique,2,4,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,75127,96,Erzeugt Schutzschild für eine Runde. Reduziert\nphysische Schäden auf die Hälfte.          SP 4,74387,95,Crea una barrera defensiva durante un turno.\nTodo daño recibido se reduce a la mitad.    4 PE,68746,6,Achat,73434,95,Creates a defensive barrier for one turn. All\nphysical damage received is cut in half.   SP 4,0,0,"",0,0,"",0,0,"",0,0,""
59,2150393136,118383,11,Schutzaura,117466,17,Aura de Renuncia,118107,17,Aura Protectrice,116017,15,Aura of Denial,6,0,Neutral,351,2,"",X,"",42,Block negative states,2,All allies,5,Gilder,2,3,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,75223,83,Schützt eine Runde lang vor allen\nnegativen Effekten.                        SP 3,74482,96,Crea una barrera durante un turno que bloquea\ntodos los efectos negativos.                3 PE,68752,6,Total,73529,96,Creates a barrier for one turn that blocks all\nadverse (and only adverse) effects.        SP 3,0,0,"",0,0,"",0,0,"",0,0,""
60,2150393152,118394,12,Blue Rogues,117483,16,Bandidos Azules,118124,14,Voleurs Bleus,116032,12,Blue Rogues,6,0,Neutral,-1,2,"",X,"",66,Blue Rogues,6,All allies and enemies,0,Vyse,-1,-1,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,75306,88,Vereinigt alle aktiven Mitglieder der\nDelphinus-Crew. Ändert sich mit der Crew.SP ALLE,74578,95,Convoca a los miembros de la tripulación del\nDelphinus. El ataque depende de ellos.  TODOS PE,68758,7,Acheté,73625,94,Summons all active members of the Delphinus\ncrew. Attack varies depending on crew.    SP ALL,0,0,"",0,0,"",0,0,"",0,0,""
61,2150393164,118406,13,Prophezeiung,117499,9,Profecía,118138,9,Prophecy,116044,9,Prophecy,6,0,Neutral,-1,2,"",X,"",65,Prophecy,4,All enemies,0,Vyse,1,-1,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,75394,98,Alle vier Gruppenmitglieder rufen mit vereinten\nKräften eine altertümliche Macht an.     SP ALLE,74673,95,Combina el poder de los 4 miembros del grupo\npara convocar un poder ancestral.       TODOS PE,68765,19,Ne peut être vendu,73719,95,Combines the power of all 4 party members to\ncall upon an ancient power.               SP ALL,0,0,"",0,0,"",0,0,"",0,0,""
