Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Element ID,Pad. #0,[Element name],Order by prio.,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Pad. #1,Pad. #2,Effect value,Type ID,[Type name],State ID,[State name],State hit%,Pad. #3,Pad. #4,Pad. #5,Ship occ. ID,[Ship occ. name],Pad. #6,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unk.,Pad. #7,Pad. #8,Pad. #9,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.,[DE ship descr. pos.],[DE ship descr. size],DE ship descr. str.,[ES ship descr. pos.],[ES ship descr. size],ES ship descr. str.,[FR ship descr. pos.],[FR ship descr. size],FR ship descr. str.,[GB ship descr. pos.],[GB ship descr. size],GB ship descr. str.
26,2352235940,105166,9,Crystali,104664,9,Crystali,105473,9,Crystali,103830,9,Crystali,2,0,Purple,10,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,1,0,0,70,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),1,-1,30,2,0,0,0,59794,97,Überzieht einen Feind mit einer Eisschicht.Sehr\nwirkungsvoll und verbraucht wenig Spirit.  SP 1,59593,99,Cubre de hielo a un solo enemigo. Tiene bastante\npotencia y usa muy poco Espíritu.           SEP1,59695,97,Emprisonne un seul ennemi dans la glace. C'est\nassez puissant et nécessite peu d'Esprit.   ES 1,59117,92,Encases a single enemy in ice. It is quite\npowerful and uses very little Spirit.      SP 1,101044,88,Feuert eine mit Purple Magic geladene\nKanonenkugel ab. Erfordert Spezialausrüstung.1SP,100442,95,Dispara una bala de cañón con Magia Púrpura.\nLanzar hechizos requiere un equipo especial. 1SP,101099,98,Lance un boulet de canon chargé de Magie Mauve.\nÉquipement spécial requis.                  1 ES,99738,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.        1 SP
27,2352235952,105175,10,Crystales,104673,10,Crystales,105482,10,Crystales,103839,10,Crystales,2,0,Purple,11,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,2,0,0,120,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,50,2,0,0,0,59891,95,Erzeugt einen Eiszapfen am Fuß eines Feindes.\nRichtet erheblichen Schaden an.            SP 2,59692,94,"Crea un punzón de hielo a los pies de un enemigo\ny lo atraviesa, produciendo gran daño. SEP2",59792,97,"Invoque un rocher de glace sur un seul ennemi,\ncausant beaucoup de dégâts.                 ES 2",59209,97,"Summons an icicle at the foot of a single enemy\nand impales it, causing great damage.      SP 2",101132,88,Feuert eine mit Purple Magic geladene\nKanonenkugel ab. Erfordert Spezialausrüstung.2SP,100537,95,Dispara una bala de cañón con Magia Púrpura.\nLanzar hechizos requiere un equipo especial. 2SP,101197,98,Lance un boulet de canon chargé de Magie Mauve.\nÉquipement spécial requis.                  2 ES,99834,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.        2 SP
28,2352235964,105185,10,Crystalum,104683,10,Crystalum,105492,10,Crystalum,103849,10,Crystalum,2,0,Purple,12,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,3,0,0,170,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),3,-1,70,2,0,0,0,59986,95,Lässt einen Feind zu einer Eissäule erstarren\nund richtet so erheblichen Schaden an.     SP 3,59786,89,Atrapa a un enemigo en una columna de\nhielo y le produce grandes daños.           SEP3,59889,96,"Emprisonne un seul ennemi dans une colonne de\nglace, causant beaucoup de dégâts.          ES 3",59306,89,Traps a single enemy in a column of ice\nan extensive amount of damage.             SP 3,101220,88,Feuert eine mit Purple Magic geladene\nKanonenkugel ab. Erfordert Spezialausrüstung.3SP,100632,95,Dispara una bala de cañón con Magia Púrpura.\nLanzar hechizos requiere un equipo especial. 3SP,101295,98,Lance un boulet de canon chargé de Magie Mauve.\nÉquipement spécial requis.                  3 ES,99930,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.        3 SP
29,2352235976,105195,10,Crystalen,104693,10,Crystalen,105502,10,Crystalen,103859,10,Crystalen,2,0,Purple,13,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,4,0,0,220,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,2,0,0,0,60081,91,Riesige Eissäulen durchbohren einen Feind\nund richten erheblichen Schaden an.        SP 4,59875,92,"Enormes columnas de hielo caen del cielo,\natraviesan a un enemigo y le producen daños.SEP4",59985,91,Grands pilliers de grêle tombant du ciel\npour causer beaucoup de dégâts.             ES 4,59395,97,Huge pillars of ice rain from the sky to impale\none enemy for enormous damage.             SP 4,101308,88,Feuert eine mit Purple Magic geladene\nKanonenkugel ab. Erfordert Spezialausrüstung.4SP,100727,95,Dispara una bala de cañón con Magia Púrpura.\nLanzar hechizos requiere un equipo especial. 4SP,101393,98,Lance un boulet de canon chargé de Magie Mauve.\nÉquipement spécial requis.                  4 ES,100026,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.        4 SP
30,2352235988,105205,8,Pyrulen,104703,8,Pyrulen,105512,8,Pyrulen,103869,8,Pyrulen,1,0,Red,3,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,10,0,0,155,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),10,-1,150,1,0,0,0,60172,96,Entzündet die Luft und setzt alle Feinde auf \ndem Bildschirm einem Feuersturm aus.       SP 10,59967,92,Arde el aire y rodea a todos los enemigos\nen una cortina de fuego.                   SEP10,60076,95,Enflamme l'air et engouffre tous les ennemis\nà l'écran dans une tempête de feu.         ES 10,59492,97,Sets the air aflame and engulfs all enemies on\nscreen in a firestorm.                     SP 10,101396,98,Feuert eine mit Red Magic geladene Kanonenkugel\nab. Erfordert Spezialausrüstung.           10 SP,100822,92,Dispara una bala de cañón con Magia Roja.\nLanzar hechizos requiere un equipo especial.10SP,101491,98,Lance un boulet de canon chargé de Magie Rouge.\nÉquipement spécial requis.                 10 ES,100122,93,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.       10 SP
31,2352235996,105213,7,Wevlum,104711,7,Wevlum,105520,7,Wevlum,103877,7,Wevlum,3,0,Blue,62,3,"",X,X,0,Damage,33,Enemy area #1,6,Magic,0,6,0,0,150,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,4,0,0,0,60268,96,"Erzeugt heftige Winde und stechenden Regen, um\nFeinde in einem großen Gebiet zu schädigen.SP 6",60059,95,Crea una zona de fuertes vientos y punzantes\nlluvias que causan danos al enemigo.        SEP6,60171,97,Invoque la force des vents et de la pluie pour\nblesser les ennemis sur une large surface.  ES 6,59589,94,Summons a field of fierce winds and stinging\nrain to damage enemies in a large area.    SP 6,101494,99,Feuert eine mit Blue Magic geladene Kanonenkugel\nab. Erfordert Spezialausrüstung.            6 SP,100914,92,Dispara una bala de cañón con Magia Azul.\nLanzar hechizos requiere un equipo especial. 6SP,101589,98,Lance un boulet de canon chargé de Magie Bleue.\nÉquipement spécial requis.                  6 ES,100215,94,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.        6 SP
32,2352236004,105220,8,Electri,104718,8,Electri,105527,8,Electri,103884,8,Electri,4,0,Yellow,30,3,"",X,X,0,Damage,36,Enemy line #0,6,Magic,0,2,0,0,60,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,3,0,0,0,60364,94,"Schädigt einen Feind und alle Feinde, die im\nWeg stehen, mit einem Stromstoß.           SP 2",60154,96,Dispara una descarga de electricidad sobre un\nobjetivo y hiere a quienes haya en medio.   SEP2,60268,96,"Envoie une décharge électrique sur une cible,\nblessant au passage tous les ennemis.       ES 2",59683,96,"Shoots a bolt of electricity at a target, also\ndamaging any enemies in the way.           SP 2",101593,97,Feuert eine mit Yellow Magic geladene Kanonen-\nkugel ab. Erfordert Spezialausrüstung.      2 SP,101006,96,Dispara una bala de cañón con Magia Amarilla.\nLanzar hechizos requiere un equipo especial. 2SP,101687,98,Lance un boulet de canon chargé de Magie Jaune.\nÉquipement spécial requis.                  2 ES,100309,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.        2 SP
33,2352236012,105228,9,Electres,104726,9,Electres,105535,9,Electres,103892,9,Electres,4,0,Yellow,31,3,"",X,X,0,Damage,37,Enemy line #1,6,Magic,0,4,0,0,105,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,3,0,0,0,60458,91,"Schädigt alle Feinde, die auf einer Linie\nstehen, mit einem Blitzschlag.             SP 4",60250,90,Envía un relámpago a través de una fila\nde enemigos produciendo un gran daño.       SEP4,60364,96,"Envoie un éclair sur une brochette d'ennemis,\ncausant d'importants dégâts.                ES 4",59779,98,Sends a lightning bolt through a line of enemies\ncausing major damage.                      SP 4,101690,97,Feuert eine mit Yellow Magic geladene Kanonen-\nkugel ab. Erfordert Spezialausrüstung.      4 SP,101102,96,Dispara una bala de cañón con Magia Amarilla.\nLanzar hechizos requiere un equipo especial. 4SP,101785,98,Lance un boulet de canon chargé de Magie Jaune.\nÉquipement spécial requis.                  4 ES,100405,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.        4 SP
34,2352236024,105237,9,Electrum,104735,9,Electrum,105544,9,Electrum,103901,9,Electrum,4,0,Yellow,32,3,"",X,X,0,Damage,37,Enemy line #1,6,Magic,0,6,0,0,150,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,3,0,0,0,60549,91,"Schädigt alle Feinde, die auf einer Linie\nstehen, mit einem starken Stromschlag.     SP 6",60340,90,Dispara una enorme descarga eléctrica y\nhiere a todos los enemigos en línea recta.  SEP6,60460,93,Une énorme décharge électrique est envoyée\nsur la brochette d'ennemis.                 ES 6,59877,95,A massive bolt of electricity is shot out and\nhits all enemies in a straight line.       SP 6,101787,97,Feuert eine mit Yellow Magic geladene Kanonen-\nkugel ab. Erfordert Spezialausrüstung.      6 SP,101198,96,Dispara una bala de cañón con Magia Amarilla.\nLanzar hechizos requiere un equipo especial. 6SP,101883,98,Lance un boulet de canon chargé de Magie Jaune.\nÉquipement spécial requis.                  6 ES,100501,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.        6 SP
35,2352236036,105246,11,Electrulen,104744,11,Electrulen,105553,11,Electrulen,103910,11,Electrulen,4,0,Yellow,33,3,"",X,X,0,Damage,38,Enemy line #2,6,Magic,0,8,0,0,195,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),8,-1,150,3,0,0,0,60640,96,Ultimativer Angriffszauber. Fügt allen Feinden\nauf einer Linie erheblichen Schaden zu.    SP 8,60430,99,El más poderoso hechizo de ataque. Produce mucho\ndaño a todos los enemigos en línea recta.   SEP8,60553,91,L'ultime sortilège d'attaque. Il causera\nd'énormes dégâts sur les ennemis alignés.   ES 8,59972,96,The ultimate attack spell. It will cause major\ndamage on all enemies in a straight line.  SP 8,101884,97,Feuert eine mit Yellow Magic geladene Kanonen-\nkugel ab. Erfordert Spezialausrüstung.      8 SP,101294,96,Dispara una bala de cañón con Magia Amarilla.\nLanzar hechizos requiere un equipo especial. 8SP,101981,98,Lance un boulet de canon chargé de Magie Jaune.\nÉquipement spécial requis.                  8 ES,100597,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.        8 SP
