Entry ID,[Filter],[Enemy ship ID],[Enemy ship name],Unk.,Task rating,Task A type ID,[Task A type name],Task A arm. ID,[Task A arm. name],Task A param. ID,[Task A param. name],Task A arm. range,Task B type ID,[Task B type name],Task B arm. ID,[Task B arm. name],Task B param. ID,[Task B param. name],Task B arm. range
1,R514A.BIN,13,Chameleon,3,50,0,Attack,0,Handgun,-1,None,0,0,Attack,1,Type D Subcannon,-1,None,1
2,R514A.BIN,13,Chameleon,3,50,2,Focus,-1,None,0,Focus,0,4,Nothing,-1,None,-1,None,0
3,R514A.BIN,13,Chameleon,-1,1,0,Attack,1,Type D Subcannon,-1,None,0,-1,None,-1,None,-1,None,0
4,R514A.BIN,13,Chameleon,-1,0,0,Attack,2,Type D Torpedo,-1,None,1,0,Attack,2,Type D Torpedo,-1,None,2
5,R514A.BIN,13,Chameleon,-1,0,4,Nothing,0,Handgun,0,Awaiting Orders,0,-1,None,-1,None,-1,None,0
6,R514A.BIN,13,Chameleon,3,50,0,Attack,0,Handgun,-1,None,1,0,Attack,0,Handgun,-1,None,0
7,R514A.BIN,13,Chameleon,3,50,0,Attack,0,Handgun,-1,None,0,4,Nothing,-1,None,0,Awaiting Orders,0
8,R514A.BIN,13,Chameleon,-1,0,2,Focus,-1,None,1,Taking Aim,0,-1,None,-1,None,-1,None,0
9,R514A.BIN,13,Chameleon,-1,0,2,Focus,-1,None,1,Taking Aim,0,-1,None,-1,None,-1,None,0
10,R514A.BIN,13,Chameleon,-1,0,2,Focus,-1,None,1,Taking Aim,0,-1,None,-1,None,-1,None,0
11,R514A.BIN,13,Chameleon,-1,0,0,Attack,3,Test Cannon,-1,None,0,-1,None,-1,None,-1,None,0
12,R514A.BIN,13,Chameleon,-1,0,2,Focus,-1,None,1,Taking Aim,0,-1,None,-1,None,-1,None,0
13,R514A.BIN,13,Chameleon,-1,0,2,Focus,-1,None,1,Taking Aim,0,-1,None,-1,None,-1,None,0
14,R514A.BIN,13,Chameleon,-1,0,2,Focus,-1,None,1,Taking Aim,0,-1,None,-1,None,-1,None,0
15,R514A.BIN,13,Chameleon,-1,0,0,Attack,3,Test Cannon,-1,None,0,-1,None,-1,None,-1,None,0
16,R514A.BIN,13,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,-1,None,-1,None,-1,None,0
17,R514A.BIN,13,Chameleon,3,50,0,Attack,2,Type D Torpedo,-1,None,1,3,Guard,-1,None,0,Evasive Action,0
18,R514A.BIN,13,Chameleon,-1,0,0,Attack,0,Handgun,-1,None,0,-1,None,-1,None,-1,None,0
19,R514A.BIN,13,Chameleon,-1,0,4,Nothing,-1,None,0,Awaiting Orders,0,-1,None,-1,None,-1,None,0
20,R514A.BIN,13,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,-1,None,-1,None,-1,None,0
21,R514A.BIN,13,Chameleon,3,50,0,Attack,2,Type D Torpedo,-1,None,1,3,Guard,-1,None,0,Evasive Action,0
22,R514A.BIN,13,Chameleon,3,70,0,Attack,0,Handgun,-1,None,0,4,Nothing,-1,None,0,Awaiting Orders,0
23,R514A.BIN,13,Chameleon,-1,0,4,Nothing,-1,None,0,Awaiting Orders,0,-1,None,-1,None,-1,None,0
24,R514A.BIN,13,Chameleon,-1,0,2,Focus,-1,None,1,Taking Aim,0,-1,None,-1,None,-1,None,0
25,R514A.BIN,13,Chameleon,-1,0,0,Attack,1,Type D Subcannon,-1,None,0,-1,None,-1,None,-1,None,0
26,R514A.BIN,13,Chameleon,-1,0,2,Focus,-1,None,1,Taking Aim,0,-1,None,-1,None,-1,None,0
27,R514A.BIN,13,Chameleon,-1,0,0,Attack,3,Test Cannon,-1,None,0,-1,None,-1,None,-1,None,0
28,R514A.BIN,13,Chameleon,-1,0,2,Focus,-1,None,1,Taking Aim,0,-1,None,-1,None,-1,None,0
29,R514A.BIN,13,Chameleon,-1,0,2,Focus,-1,None,1,Taking Aim,0,-1,None,-1,None,-1,None,0
30,R514A.BIN,13,Chameleon,-1,0,2,Focus,-1,None,1,Taking Aim,0,-1,None,-1,None,-1,None,0
31,R514A.BIN,13,Chameleon,-1,0,0,Attack,3,Test Cannon,1,None,0,-1,None,-1,None,-1,None,0
32,R514A.BIN,13,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,-1,None,-1,None,-1,None,0
33,R514A.BIN,13,Chameleon,-1,0,0,Attack,2,Type D Torpedo,-1,None,2,3,Guard,-1,None,0,Evasive Action,0
34,R514A.BIN,13,Chameleon,-1,0,0,Attack,0,Handgun,-1,None,0,-1,None,-1,None,-1,None,0
35,R514A.BIN,13,Chameleon,-1,0,4,Nothing,-1,None,0,Awaiting Orders,0,-1,None,-1,None,-1,None,0
36,R514A.BIN,13,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,-1,None,-1,None,-1,None,0
37,R514A.BIN,13,Chameleon,3,50,0,Attack,1,Type D Subcannon,-1,None,1,3,Guard,-1,None,0,Evasive Action,0
38,R514A.BIN,13,Chameleon,3,50,0,Attack,0,Handgun,-1,None,0,4,Nothing,-1,None,0,Awaiting Orders,0
39,R514A.BIN,13,Chameleon,-1,0,4,Nothing,-1,None,0,Awaiting Orders,0,-1,None,-1,None,-1,None,0
40,R514A.BIN,13,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,-1,None,-1,None,-1,None,0
41,R514A.BIN,13,Chameleon,-1,0,0,Attack,2,Type D Torpedo,-1,None,1,0,Attack,-1,None,-1,None,0
42,R514A.BIN,13,Chameleon,3,50,0,Attack,2,Type D Torpedo,-1,None,1,3,Guard,-1,None,0,Evasive Action,0
43,R514A.BIN,13,Chameleon,3,50,0,Attack,0,Handgun,-1,None,0,0,Attack,1,Type D Subcannon,-1,None,0
44,R514A.BIN,13,Chameleon,-1,0,2,Focus,-1,None,1,Taking Aim,0,-1,None,-1,None,-1,None,0
45,R514A.BIN,13,Chameleon,-1,0,4,Nothing,-1,None,0,Awaiting Orders,0,-1,None,-1,None,-1,None,0
46,R514A.BIN,13,Chameleon,3,50,0,Attack,1,Type D Subcannon,-1,None,0,0,Attack,0,Handgun,-1,None,3
47,R514A.BIN,13,Chameleon,-1,0,4,Nothing,-1,None,0,Awaiting Orders,0,-1,None,-1,None,-1,None,0
48,R514A.BIN,13,Chameleon,-1,0,0,Attack,2,Type D Torpedo,-1,None,1,0,Attack,2,Type D Torpedo,-1,None,2
49,R514A.BIN,13,Chameleon,3,50,0,Attack,0,Handgun,-1,None,1,0,Attack,0,Handgun,-1,None,0
50,R514A.BIN,13,Chameleon,3,50,0,Attack,0,Handgun,-1,None,0,4,Nothing,-1,None,0,Awaiting Orders,0
51,R514A.BIN,13,Chameleon,3,50,0,Attack,0,Handgun,-1,None,0,4,Nothing,-1,None,0,Awaiting Orders,0
0,R515A.BIN,25,Grendel,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,4,Nothing,-1,None,2,Assessing Damage,0
1,R515A.BIN,25,Grendel,-1,0,2,Focus,-1,None,2,Preparing Attack,0,2,Focus,-1,None,2,Preparing Attack,0
2,R515A.BIN,25,Grendel,-1,0,0,Attack,0,Fist of Grendel,-1,None,0,0,Attack,0,Fist of Grendel,-1,None,0
3,R515A.BIN,25,Grendel,-1,0,0,Attack,1,Boulder Throw,-1,None,0,0,Attack,1,Boulder Throw,-1,None,0
4,R515A.BIN,25,Grendel,9,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Fist of Grendel,-1,None,0
5,R515A.BIN,25,Grendel,-1,0,0,Attack,0,Fist of Grendel,-1,None,0,0,Attack,0,Fist of Grendel,-1,None,0
6,R515A.BIN,25,Grendel,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,4,Nothing,-1,None,2,Assessing Damage,0
7,R515A.BIN,25,Grendel,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,4,Nothing,-1,None,2,Assessing Damage,0
8,R515A.BIN,25,Grendel,-1,0,2,Focus,-1,None,2,Preparing Attack,0,2,Focus,-1,None,2,Preparing Attack,0
9,R515A.BIN,25,Grendel,9,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Fist of Grendel,-1,None,0
10,R515A.BIN,25,Grendel,-1,0,0,Attack,0,Fist of Grendel,-1,None,0,0,Attack,0,Fist of Grendel,-1,None,0
11,R515A.BIN,25,Grendel,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,4,Nothing,-1,None,2,Assessing Damage,0
12,R515A.BIN,25,Grendel,-1,0,2,Focus,-1,None,2,Preparing Attack,0,2,Focus,-1,None,2,Preparing Attack,0
13,R515A.BIN,25,Grendel,-1,0,0,Attack,1,Boulder Throw,-1,None,0,0,Attack,1,Boulder Throw,-1,None,0
14,R515A.BIN,25,Grendel,-1,0,0,Attack,0,Fist of Grendel,-1,None,0,0,Attack,0,Fist of Grendel,-1,None,0
15,R515A.BIN,25,Grendel,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,4,Nothing,-1,None,2,Assessing Damage,0
16,R515A.BIN,25,Grendel,-1,0,4,Nothing,-1,None,1,Target Lost,0,4,Nothing,-1,None,1,Target Lost,0
17,R515A.BIN,25,Grendel,-1,0,0,Attack,1,Boulder Throw,-1,None,0,0,Attack,1,Boulder Throw,-1,None,0
18,R515A.BIN,25,Grendel,-1,0,4,Nothing,-1,None,1,Target Lost,0,4,Nothing,-1,None,1,Target Lost,0
19,R515A.BIN,25,Grendel,-1,0,0,Attack,1,Boulder Throw,-1,None,0,0,Attack,1,Boulder Throw,-1,None,0
20,R515A.BIN,25,Grendel,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,4,Nothing,-1,None,2,Assessing Damage,0
21,R515A.BIN,25,Grendel,-1,0,2,Focus,-1,None,2,Preparing Attack,0,2,Focus,-1,None,2,Preparing Attack,0
22,R515A.BIN,25,Grendel,-1,0,0,Attack,2,Stomp,-1,None,0,0,Attack,2,Stomp,-1,None,0
23,R515A.BIN,25,Grendel,-1,0,0,Attack,1,Boulder Throw,-1,None,0,0,Attack,1,Boulder Throw,-1,None,0
24,R515A.BIN,25,Grendel,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,4,Nothing,-1,None,2,Assessing Damage,0
25,R515A.BIN,25,Grendel,-1,0,2,Focus,-1,None,2,Preparing Attack,0,2,Focus,-1,None,2,Preparing Attack,0
26,R515A.BIN,25,Grendel,3,80,0,Attack,0,Fist of Grendel,-1,None,0,4,Nothing,-1,None,2,Assessing Damage,0
27,R515A.BIN,25,Grendel,4,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Fist of Grendel,-1,None,0
28,R515A.BIN,25,Grendel,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,4,Nothing,-1,None,2,Assessing Damage,0
29,R515A.BIN,25,Grendel,-1,0,2,Focus,-1,None,2,Preparing Attack,0,2,Focus,-1,None,2,Preparing Attack,0
30,R515A.BIN,25,Grendel,-1,0,0,Attack,0,Fist of Grendel,-1,None,0,0,Attack,0,Fist of Grendel,-1,None,0
31,R515A.BIN,25,Grendel,-1,0,0,Attack,0,Fist of Grendel,-1,None,0,0,Attack,0,Fist of Grendel,-1,None,0
32,R515A.BIN,25,Grendel,-1,0,4,Nothing,-1,None,1,Target Lost,0,4,Nothing,-1,None,1,Target Lost,0
33,R515A.BIN,25,Grendel,-1,0,2,Focus,-1,None,2,Preparing Attack,0,2,Focus,-1,None,2,Preparing Attack,0
34,R515A.BIN,25,Grendel,-1,0,0,Attack,0,Fist of Grendel,-1,None,0,0,Attack,0,Fist of Grendel,-1,None,0
35,R515A.BIN,25,Grendel,0,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Fist of Grendel,-1,None,0
36,R515A.BIN,25,Grendel,-1,0,2,Focus,-1,None,2,Preparing Attack,0,2,Focus,-1,None,2,Preparing Attack,0
37,R515A.BIN,25,Grendel,9,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Fist of Grendel,-1,None,0
38,R515A.BIN,25,Grendel,-1,0,0,Attack,0,Fist of Grendel,-1,None,0,0,Attack,0,Fist of Grendel,-1,None,0
39,R515A.BIN,25,Grendel,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,4,Nothing,-1,None,2,Assessing Damage,0
0,R518A.BIN,4,Valuan Gunboat,-1,0,0,Attack,0,Large Cannon,-1,None,0,0,Attack,0,Large Cannon,-1,None,0
1,R518A.BIN,4,Valuan Gunboat,3,80,0,Attack,1,Heavy Subcannon,-1,None,1,4,Nothing,0,Large Cannon,0,Awaiting Orders,0
2,R518A.BIN,4,Valuan Gunboat,-1,0,0,Attack,0,Large Cannon,-1,None,0,0,Attack,-1,None,-1,None,0
3,R518A.BIN,4,Valuan Gunboat,3,50,0,Attack,1,Heavy Subcannon,-1,None,0,3,Guard,-1,None,0,Evasive Action,0
4,R518A.BIN,4,Valuan Gunboat,-1,0,0,Attack,2,Torpedo,-1,None,1,0,Attack,0,Large Cannon,-1,None,0
5,R518A.BIN,4,Valuan Gunboat,3,80,0,Attack,0,Large Cannon,-1,None,0,4,Nothing,-1,None,0,Awaiting Orders,0
6,R518A.BIN,4,Valuan Gunboat,3,50,0,Attack,1,Heavy Subcannon,-1,None,2,4,Nothing,-1,None,0,Awaiting Orders,0
7,R518A.BIN,4,Valuan Gunboat,-1,0,0,Attack,0,Large Cannon,-1,None,0,0,Attack,0,Large Cannon,-1,None,0
8,R518A.BIN,4,Valuan Gunboat,3,80,0,Attack,2,Torpedo,-1,None,3,2,Focus,-1,None,0,Focus,0
9,R518A.BIN,4,Valuan Gunboat,3,30,0,Attack,1,Heavy Subcannon,-1,None,1,3,Guard,0,Large Cannon,0,Evasive Action,0
10,R518A.BIN,4,Valuan Gunboat,-1,0,0,Attack,0,Large Cannon,-1,None,0,0,Attack,0,Large Cannon,-1,None,0
11,R518A.BIN,4,Valuan Gunboat,3,30,0,Attack,1,Heavy Subcannon,-1,None,0,0,Attack,0,Large Cannon,-1,None,0
12,R518A.BIN,4,Valuan Gunboat,-1,0,0,Attack,2,Torpedo,-1,None,1,0,Attack,-1,None,-1,None,0
13,R518A.BIN,4,Valuan Gunboat,-1,0,0,Attack,2,Torpedo,-1,None,2,0,Attack,-1,None,-1,None,0
14,R518A.BIN,4,Valuan Gunboat,3,50,0,Attack,0,Large Cannon,-1,None,0,2,Focus,0,Large Cannon,-1,None,0
15,R518A.BIN,4,Valuan Gunboat,3,30,0,Attack,1,Heavy Subcannon,-1,None,0,0,Attack,0,Large Cannon,-1,None,0
0,R519A.BIN,38,Fortress Gates,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Small Cannon,-1,None,0
1,R519A.BIN,38,Fortress Gates,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Small Cannon,-1,None,0
2,R519A.BIN,38,Fortress Gates,-1,0,0,Attack,0,Small Cannon,-1,None,0,0,Attack,0,Small Cannon,-1,None,0
3,R519A.BIN,38,Fortress Gates,-1,0,0,Attack,0,Small Cannon,-1,None,0,0,Attack,0,Small Cannon,-1,None,0
0,R520A.BIN,9,Gregorio Cruiser,-1,0,0,Attack,0,Main Cannon,-1,None,0,-1,None,-1,None,-1,None,0
1,R520A.BIN,9,Gregorio Cruiser,3,25,3,Guard,-1,None,0,Evasive Action,0,0,Attack,1,Fragmentation ,-1,None,1
2,R520A.BIN,9,Gregorio Cruiser,-1,0,0,Attack,0,Main Cannon,-1,None,0,-1,None,-1,None,-1,None,0
3,R520A.BIN,9,Gregorio Cruiser,3,20,3,Guard,-1,None,0,Evasive Action,0,0,Attack,1,Fragmentation ,-1,None,0
4,R520A.BIN,9,Gregorio Cruiser,-1,0,0,Attack,1,Fragmentation ,-1,None,0,-1,None,-1,None,-1,None,0
5,R520A.BIN,9,Gregorio Cruiser,3,50,3,Guard,-1,None,0,Evasive Action,0,0,Attack,1,Fragmentation ,-1,None,1
6,R520A.BIN,9,Gregorio Cruiser,-1,0,0,Attack,0,Main Cannon,-1,None,0,-1,None,-1,None,-1,None,0
7,R520A.BIN,9,Gregorio Cruiser,3,30,3,Guard,-1,None,0,Evasive Action,0,0,Attack,1,Fragmentation ,-1,None,0
0,R521A.BIN,10,Gregorio Gunboat,-1,0,3,Guard,-1,None,-1,None,0,0,Attack,0,Main Cannon,-1,None,0
1,R521A.BIN,10,Gregorio Gunboat,-1,0,2,Focus,-1,None,1,Taking Aim,0,0,Attack,0,Main Cannon,-1,None,0
2,R521A.BIN,10,Gregorio Gunboat,-1,0,0,Attack,0,Main Cannon,-1,None,0,0,Attack,0,Main Cannon,-1,None,0
3,R521A.BIN,10,Gregorio Gunboat,-1,0,0,Attack,1,Fragmenter Gun,-1,None,0,0,Attack,0,Main Cannon,-1,None,0
4,R521A.BIN,10,Gregorio Gunboat,-1,0,0,Attack,1,Fragmenter Gun,-1,None,3,0,Attack,0,Main Cannon,-1,None,0
5,R521A.BIN,10,Gregorio Gunboat,-1,0,0,Attack,2,Blast Charge,-1,None,2,0,Attack,0,Main Cannon,-1,None,0
6,R521A.BIN,10,Gregorio Gunboat,-1,0,3,Guard,-1,None,-1,None,0,0,Attack,0,Main Cannon,-1,None,0
7,R521A.BIN,10,Gregorio Gunboat,-1,0,2,Focus,-1,None,1,Taking Aim,0,0,Attack,0,Main Cannon,-1,None,0
8,R521A.BIN,10,Gregorio Gunboat,-1,0,4,Nothing,-1,None,1,Target Lost,0,0,Attack,0,Main Cannon,-1,None,0
9,R521A.BIN,10,Gregorio Gunboat,-1,0,2,Focus,-1,None,1,Taking Aim,0,0,Attack,0,Main Cannon,-1,None,0
10,R521A.BIN,10,Gregorio Gunboat,-1,0,0,Attack,0,Main Cannon,-1,None,0,0,Attack,0,Main Cannon,-1,None,0
11,R521A.BIN,10,Gregorio Gunboat,-1,0,0,Attack,1,Fragmenter Gun,-1,None,3,0,Attack,0,Main Cannon,-1,None,0
12,R521A.BIN,10,Gregorio Gunboat,-1,0,0,Attack,0,Main Cannon,-1,None,0,0,Attack,0,Main Cannon,-1,None,0
13,R521A.BIN,10,Gregorio Gunboat,-1,0,0,Attack,2,Blast Charge,-1,None,3,0,Attack,0,Main Cannon,-1,None,0
14,R521A.BIN,10,Gregorio Gunboat,-1,0,0,Attack,1,Fragmenter Gun,-1,None,1,0,Attack,0,Main Cannon,-1,None,0
15,R521A.BIN,10,Gregorio Gunboat,-1,0,3,Guard,-1,None,-1,None,0,0,Attack,0,Main Cannon,-1,None,0
0,R522A.BIN,16,Auriga,3,20,3,Guard,-1,None,0,Evasive Action,0,0,Attack,2,Blast Charge,-1,None,2
1,R522A.BIN,16,Auriga,3,60,3,Guard,-1,None,0,Evasive Action,0,0,Attack,0,AP Cannon,-1,None,0
2,R522A.BIN,16,Auriga,3,80,3,Guard,-1,None,0,Evasive Action,0,0,Attack,1,Fragment Gun,-1,None,1
3,R522A.BIN,16,Auriga,3,10,3,Guard,-1,None,0,Evasive Action,0,2,Focus,-1,None,0,Focus,0
4,R522A.BIN,16,Auriga,-1,0,3,Guard,-1,None,0,Evasive Action,0,3,Guard,-1,None,0,Evasive Action,0
5,R522A.BIN,16,Auriga,3,35,0,Attack,0,AP Cannon,-1,None,0,0,Attack,1,Fragment Gun,-1,None,3
6,R522A.BIN,16,Auriga,-1,0,3,Guard,-1,None,0,Evasive Action,0,3,Guard,-1,None,0,Evasive Action,0
7,R522A.BIN,16,Auriga,3,70,0,Attack,0,AP Cannon,-1,None,0,2,Focus,-1,None,0,Focus,0
8,R522A.BIN,16,Auriga,3,40,4,Nothing,-1,None,0,Awaiting Orders,0,0,Attack,0,AP Cannon,-1,None,0
9,R522A.BIN,16,Auriga,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
10,R522A.BIN,16,Auriga,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
11,R522A.BIN,16,Auriga,6,0,4,Nothing,0,AP Cannon,3,Hull Ram,0,0,Attack,3,Hull Ram,-1,None,0
12,R522A.BIN,16,Auriga,3,20,3,Guard,-1,None,0,Evasive Action,0,0,Attack,2,Blast Charge,-1,None,2
13,R522A.BIN,16,Auriga,3,80,3,Guard,-1,None,0,Evasive Action,0,0,Attack,1,Fragment Gun,-1,None,3
14,R522A.BIN,16,Auriga,3,10,3,Guard,-1,None,0,Evasive Action,0,2,Focus,-1,None,0,Focus,0
15,R522A.BIN,16,Auriga,3,60,3,Guard,-1,None,0,Evasive Action,0,0,Attack,0,AP Cannon,-1,None,0
16,R522A.BIN,16,Auriga,3,20,3,Guard,-1,None,0,Evasive Action,0,0,Attack,1,Fragment Gun,-1,None,3
17,R522A.BIN,16,Auriga,3,20,3,Guard,-1,None,0,Evasive Action,0,0,Attack,2,Blast Charge,-1,None,2
18,R522A.BIN,16,Auriga,3,10,3,Guard,-1,None,0,Evasive Action,0,0,Attack,0,AP Cannon,-1,None,0
19,R522A.BIN,16,Auriga,3,20,3,Guard,-1,None,0,Evasive Action,0,2,Focus,-1,None,0,Focus,0
20,R522A.BIN,16,Auriga,3,40,4,Nothing,-1,None,0,Awaiting Orders,0,0,Attack,1,Fragment Gun,-1,None,2
21,R522A.BIN,16,Auriga,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
22,R522A.BIN,16,Auriga,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
23,R522A.BIN,16,Auriga,6,0,4,Nothing,0,AP Cannon,3,Hull Ram,0,0,Attack,3,Hull Ram,-1,None,0
24,R522A.BIN,16,Auriga,-1,0,0,Attack,1,Fragment Gun,-1,None,2,0,Attack,1,Fragment Gun,-1,None,2
25,R522A.BIN,16,Auriga,3,40,0,Attack,0,AP Cannon,-1,None,0,0,Attack,2,Blast Charge,-1,None,1
26,R522A.BIN,16,Auriga,3,60,0,Attack,0,AP Cannon,-1,None,0,3,Guard,-1,None,0,Evasive Action,0
27,R522A.BIN,16,Auriga,0,35,2,Focus,-1,None,0,Focus,0,0,Attack,0,AP Cannon,-1,None,0
28,R522A.BIN,16,Auriga,-1,0,0,Attack,1,Fragment Gun,-1,None,2,0,Attack,1,Fragment Gun,-1,None,2
29,R522A.BIN,16,Auriga,3,40,0,Attack,0,AP Cannon,-1,None,0,0,Attack,2,Blast Charge,-1,None,1
30,R522A.BIN,16,Auriga,3,60,0,Attack,0,AP Cannon,-1,None,0,3,Guard,-1,None,0,Evasive Action,0
31,R522A.BIN,16,Auriga,0,35,2,Focus,-1,None,0,Focus,0,0,Attack,0,AP Cannon,-1,None,0
32,R522A.BIN,16,Auriga,3,90,4,Nothing,-1,None,0,Awaiting Orders,0,2,Focus,-1,None,0,Focus,0
33,R522A.BIN,16,Auriga,3,70,4,Nothing,-1,None,0,Awaiting Orders,0,2,Focus,-1,None,0,Focus,0
34,R522A.BIN,16,Auriga,3,50,4,Nothing,-1,None,0,Awaiting Orders,0,3,Guard,-1,None,0,Evasive Action,0
35,R522A.BIN,16,Auriga,3,20,4,Nothing,-1,None,0,Awaiting Orders,0,3,Guard,-1,None,0,Evasive Action,0
36,R522A.BIN,16,Auriga,3,90,4,Nothing,-1,None,0,Awaiting Orders,0,2,Focus,-1,None,0,Focus,0
37,R522A.BIN,16,Auriga,3,70,4,Nothing,-1,None,0,Awaiting Orders,0,2,Focus,-1,None,0,Focus,0
38,R522A.BIN,16,Auriga,3,50,4,Nothing,-1,None,0,Awaiting Orders,0,3,Guard,-1,None,0,Evasive Action,0
39,R522A.BIN,16,Auriga,3,20,4,Nothing,-1,None,0,Awaiting Orders,0,3,Guard,-1,None,0,Evasive Action,0
0,R523A.BIN,32,Obispo,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Squid Ink,-1,None,0
1,R523A.BIN,32,Obispo,-1,0,0,Attack,0,Squid Ink,-1,None,0,0,Attack,0,Squid Ink,-1,None,0
2,R523A.BIN,32,Obispo,3,50,0,Attack,0,Squid Ink,-1,None,0,4,Nothing,-1,None,2,Assessing Damage,0
3,R523A.BIN,32,Obispo,4,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Squid Ink,-1,None,0
4,R523A.BIN,32,Obispo,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Squid Ink,-1,None,0
5,R523A.BIN,32,Obispo,-1,0,0,Attack,0,Squid Ink,-1,None,0,0,Attack,0,Squid Ink,-1,None,0
6,R523A.BIN,32,Obispo,1,30,3,Guard,-1,None,-1,None,0,4,Nothing,-1,None,2,Assessing Damage,0
7,R523A.BIN,32,Obispo,-1,0,0,Attack,0,Squid Ink,-1,None,0,0,Attack,0,Squid Ink,-1,None,0
8,R523A.BIN,32,Obispo,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Squid Ink,-1,None,0
9,R523A.BIN,32,Obispo,-1,0,0,Attack,0,Squid Ink,-1,None,0,0,Attack,0,Squid Ink,-1,None,0
10,R523A.BIN,32,Obispo,1,30,3,Guard,-1,None,-1,None,0,4,Nothing,-1,None,2,Assessing Damage,0
11,R523A.BIN,32,Obispo,-1,0,0,Attack,0,Squid Ink,-1,None,0,0,Attack,0,Squid Ink,-1,None,0
12,R523A.BIN,32,Obispo,1,30,3,Guard,-1,None,-1,None,0,4,Nothing,-1,None,2,Assessing Damage,0
13,R523A.BIN,32,Obispo,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Squid Ink,-1,None,0
14,R523A.BIN,32,Obispo,-1,0,0,Attack,0,Squid Ink,-1,None,0,0,Attack,0,Squid Ink,-1,None,0
15,R523A.BIN,32,Obispo,1,30,3,Guard,-1,None,-1,None,0,4,Nothing,-1,None,2,Assessing Damage,0
16,R523A.BIN,32,Obispo,1,30,3,Guard,-1,None,-1,None,0,4,Nothing,-1,None,2,Assessing Damage,0
17,R523A.BIN,32,Obispo,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Squid Ink,-1,None,0
18,R523A.BIN,32,Obispo,-1,0,0,Attack,0,Squid Ink,-1,None,0,0,Attack,0,Squid Ink,-1,None,0
19,R523A.BIN,32,Obispo,-1,0,0,Attack,0,Squid Ink,-1,None,0,0,Attack,0,Squid Ink,-1,None,0
20,R523A.BIN,32,Obispo,-1,0,0,Attack,0,Squid Ink,-1,None,0,0,Attack,0,Squid Ink,-1,None,0
21,R523A.BIN,32,Obispo,-1,0,0,Attack,0,Squid Ink,-1,None,0,0,Attack,0,Squid Ink,-1,None,0
22,R523A.BIN,32,Obispo,-1,0,0,Attack,0,Squid Ink,-1,None,0,0,Attack,0,Squid Ink,-1,None,0
23,R523A.BIN,32,Obispo,-1,0,0,Attack,0,Squid Ink,-1,None,0,0,Attack,0,Squid Ink,-1,None,0
0,R524A.BIN,29,Anguila,3,50,0,Attack,1,Bite,-1,None,0,3,Guard,-1,None,-1,None,0
1,R524A.BIN,29,Anguila,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,4,Nothing,-1,None,2,Assessing Damage,0
2,R524A.BIN,29,Anguila,-1,0,2,Focus,-1,None,2,Preparing Attack,0,2,Focus,-1,None,2,Preparing Attack,0
3,R524A.BIN,29,Anguila,-1,0,0,Attack,0,Poison Spray,-1,None,0,0,Attack,0,Poison Spray,-1,None,0
4,R524A.BIN,29,Anguila,-1,0,2,Focus,-1,None,2,Preparing Attack,0,2,Focus,-1,None,2,Preparing Attack,0
5,R524A.BIN,29,Anguila,3,60,0,Attack,0,Poison Spray,-1,None,0,3,Guard,-1,None,-1,None,0
6,R524A.BIN,29,Anguila,-1,0,2,Focus,-1,None,2,Preparing Attack,0,2,Focus,-1,None,2,Preparing Attack,0
7,R524A.BIN,29,Anguila,-1,0,0,Attack,0,Poison Spray,-1,None,0,0,Attack,0,Poison Spray,-1,None,0
